SCINAME,O,U,F,M,E,S,N,W,H,D,Q
Corvus corax,0,1,0,1,0,0,1,0,0,0,1
Corvus corone,0,1,0,0,1,0,1,0,0,1,0
Loxia curvirostra,0,1,0,1,0,0,0,0,1,1,0
Prunella collaris,0,0,0,0,0,0,1,0,1,1,1
Pyrrhocorax pyrrhocorax,0,0,0,0,0,0,1,0,1,1,1
Garrulus glandarius,0,1,0,0,1,0,0,0,1,1,0
Linaria flavirostris,0,0,0,0,0,0,1,0,1,1,1
Monticola solitarius,0,0,0,0,1,0,0,1,1,1,0
Phasianus colchicus,0,0,0,0,1,1,1,0,0,1,0
Picus canus,0,1,0,0,1,0,0,0,1,1,0
Pyrrhocorax graculus,0,0,0,0,0,0,0,1,1,1,1
Sitta europaea,0,1,0,0,1,0,1,0,0,1,0
Corvus macrorhynchos,0,0,0,0,1,1,0,0,1,1,0
Mycerobas carnipes,0,0,0,0,0,0,1,1,1,1,0
Myophonus caeruleus,0,0,0,0,1,1,0,0,1,1,0
Nucifraga caryocatactes,0,1,0,0,1,0,0,0,1,1,0
Oenanthe deserti,0,0,0,0,0,0,1,1,1,0,1
Periparus ater,0,1,0,0,1,0,0,0,1,1,0
Phoenicurus fuliginosus,0,0,0,0,1,1,0,0,1,1,0
Phoenicurus leucocephalus,0,0,0,0,1,1,0,0,1,1,0
Phoenicurus ochruros,0,1,0,0,0,0,1,0,0,1,1
Poecile montanus,0,1,0,0,1,0,1,0,0,0,0
Pyrrhula erythaca,0,0,0,0,0,1,0,0,1,1,0
Saxicola maurus,0,1,0,0,0,0,0,1,1,1,0
Aegithalos concinnus,0,0,0,0,1,1,0,0,1,1,0
Alectoris chukar,0,0,0,0,1,0,1,1,1,0,0
Carduelis carduelis,0,1,0,0,0,0,1,1,1,0,0
Carpodacus puniceus,0,0,0,0,0,0,1,0,1,1,1
Carpodacus rubicilla,0,0,0,0,0,0,1,0,1,1,1
Carpodacus sibiricus,0,1,0,0,1,0,1,0,0,1,0
Chloris sinica,0,0,0,0,1,1,1,0,0,1,0
Copsychus saularis,0,0,0,0,1,1,0,0,1,1,0
Coloeus dauuricus,0,0,0,0,1,0,1,0,0,1,1
Corvus frugilegus,0,1,0,0,1,0,1,1,0,0,0
Cyanoderma ruficeps,0,0,0,0,1,1,0,0,1,1,0
Dendrocitta formosae,0,0,0,0,1,1,0,0,1,1,0
Dendrocopos hyperythrus,0,0,0,0,1,1,0,0,1,1,0
Dendrocopos leucotos,0,1,0,0,1,0,1,0,0,1,0
Dendrocopos major,0,1,0,0,1,0,1,0,0,1,0
Dicrurus leucophaeus,0,0,0,0,1,1,0,0,1,1,0
Dicrurus macrocercus,0,0,0,0,1,1,0,0,1,1,0
Dryobates cathpharius,0,0,0,0,1,1,0,0,1,1,0
Dryocopus martius,0,1,0,0,1,0,1,0,0,1,0
Enicurus leschenaulti,0,0,0,0,1,1,0,0,1,1,0
Eumyias thalassinus,0,0,0,0,1,1,0,0,1,1,0
Horornis fortipes,0,0,0,0,1,1,0,0,1,1,0
Lalage melaschistos,0,0,0,0,1,1,0,0,1,1,0
Leiothrix lutea,0,0,0,0,1,1,0,0,1,1,0
Leptopoecile sophiae,0,0,0,0,0,0,1,0,1,1,1
Leucosticte nemoricola,0,0,0,0,0,0,1,0,1,1,1
Linaria cannabina,0,1,1,0,0,0,1,1,0,0,0
Lioparus chrysotis,0,0,0,0,1,1,0,0,1,1,0
Monticola rufiventris,0,0,0,0,1,1,0,0,1,1,0
Parus monticolus,0,0,0,0,1,1,0,0,1,1,0
Perdix perdix,0,1,0,1,0,0,1,1,0,0,0
Pericrocotus ethologus,0,0,0,0,1,1,0,0,1,1,0
Phoenicurus erythrogastrus,0,0,0,0,0,0,1,0,1,1,1
Phylloscopus subaffinis,0,0,0,0,1,1,0,0,0,1,1
Pica pica,0,1,0,0,1,0,1,1,0,0,0
Picumnus innominatus,0,0,0,0,1,1,0,0,1,1,0
Poecile palustris,0,1,0,0,1,0,1,0,0,1,0
Pomatorhinus ruficollis,0,0,0,0,1,1,0,0,1,1,0
Prunella fulvescens,0,0,0,0,0,0,1,0,1,1,1
Pucrasia macrolopha,0,0,0,0,1,1,0,0,1,1,0
Saxicola caprata,0,0,0,0,0,1,0,1,1,1,0
Saxicola ferreus,0,0,0,0,1,1,0,0,1,1,0
Tragopan temminckii,0,0,0,0,1,1,0,0,1,1,0
Trochalopteron elliotii,0,0,0,0,1,0,1,0,0,1,1
Turdus rubrocanus,0,0,0,0,1,0,0,0,1,1,1
Turdus viscivorus,0,1,0,0,0,0,1,1,1,0,0
Urocissa erythroryncha,0,0,0,0,1,1,0,0,1,1,0
Carpodacus erythrinus,0,1,0,0,0,0,1,0,1,1,0
Muscicapa sibirica,0,0,0,0,1,0,1,0,1,1,0
Parus minor,0,0,0,0,1,1,0,0,1,1,0
Yungipicus canicapillus,0,0,0,0,1,1,0,0,1,1,0
Phylloscopus humei,0,0,0,0,1,0,1,0,1,1,0
Phylloscopus trochiloides,0,1,0,0,0,0,1,0,1,1,0
Abroscopus albogularis,0,0,0,0,0,1,0,0,1,1,0
Abroscopus schisticeps,0,0,0,0,0,1,0,0,1,1,0
Aegithalos caudatus,0,1,0,0,1,0,1,0,0,0,0
Arborophila rufogularis,0,0,0,0,0,1,0,0,1,1,0
Arborophila torqueola,0,0,0,0,0,1,0,0,1,1,0
Argya earlei,0,0,0,0,0,1,0,1,1,0,0
Bambusicola thoracicus,0,0,0,0,1,1,0,0,0,1,0
Blythipicus pyrrhotis,0,0,0,0,0,1,0,0,1,1,0
Brachypteryx cruralis,0,0,0,0,0,1,0,0,1,1,0
Brachypteryx leucophris,0,0,0,0,0,1,0,0,1,1,0
Bucanetes mongolicus,0,0,0,0,0,0,1,1,1,0,0
Carpodacus pulcherrimus,0,0,0,0,0,0,0,0,1,1,1
Carpodacus rhodochlamys,0,1,0,0,0,0,1,0,1,0,0
Carpodacus rubicilloides,0,0,0,0,0,0,0,0,1,1,1
Carpodacus vinaceus,0,0,0,0,1,1,0,0,0,1,0
Carpodacus waltoni,0,0,0,0,0,0,0,0,1,1,1
Certhia familiaris,0,1,0,0,1,0,1,0,0,0,0
Cettia castaneocoronata,0,0,0,0,0,1,0,0,1,1,0
Chloris ambigua,0,0,0,0,0,1,0,0,1,1,0
Chrysolophus pictus,0,0,0,0,1,1,0,0,0,1,0
Chrysophlegma flavinucha,0,0,0,0,0,1,0,0,1,1,0
Cinclidium frontale,0,0,0,0,0,1,0,0,1,1,0
Cissa chinensis,0,0,0,0,0,1,0,0,1,1,0
Coccothraustes coccothraustes,0,1,0,0,1,0,1,0,0,0,0
Coracina javensis,0,0,0,0,0,1,0,0,1,1,0
Coloeus monedula,0,1,0,0,0,0,1,1,0,0,0
Corvus splendens,0,0,0,0,0,1,0,1,1,0,0
Cutia nipalensis,0,0,0,0,0,1,0,0,1,1,0
Cyanistes cyanus,0,1,0,0,1,0,1,0,0,0,0
Cyornis unicolor,0,0,0,0,0,1,0,0,1,1,0
Dendrocopos darjellensis,0,0,0,0,0,1,0,0,1,1,0
Dicrurus hottentottus,0,0,0,0,0,1,0,0,1,1,0
Dicrurus remifer,0,0,0,0,0,1,0,0,1,1,0
Dinopium benghalense,0,0,0,0,0,1,0,1,1,0,0
Dryobates minor,0,1,0,0,1,0,1,0,0,0,0
Enicurus maculatus,0,0,0,0,0,1,0,0,1,1,0
Enicurus schistaceus,0,0,0,0,0,1,0,0,1,1,0
Enicurus scouleri,0,0,0,0,0,1,0,0,1,1,0
Erythrogenys gravivox,0,0,0,0,1,1,0,0,0,1,0
Ficedula erithacus,0,0,0,0,0,1,0,0,0,1,1
Ficedula hyperythra,0,0,0,0,0,1,0,0,1,1,0
Ficedula sapphira,0,0,0,0,0,1,0,0,1,1,0
Ficedula strophiata,0,0,0,0,0,1,0,0,1,1,0
Ficedula tricolor,0,0,0,0,0,1,0,0,1,1,0
Ficedula westermanni,0,0,0,0,0,1,0,0,1,1,0
Francolinus francolinus,0,0,0,0,0,1,0,1,1,0,0
Francolinus pondicerianus,0,0,0,0,0,1,0,1,1,0,0
Fulvetta cinereiceps,0,0,0,0,1,1,0,0,0,1,0
Fulvetta ruficapilla,0,0,0,0,1,1,0,0,0,1,0
Fulvetta vinipectus,0,0,0,0,0,1,0,0,1,1,0
Gallus gallus,0,0,0,0,0,1,0,0,1,1,0
Garrulax canorus,0,0,0,0,1,1,0,0,0,1,0
Geokichla citrina,0,0,0,0,0,1,0,0,1,1,0
Grandala coelicolor,0,0,0,0,0,0,0,0,1,1,1
Heterophasia gracilis,0,0,0,0,0,1,0,0,1,1,0
Heterophasia pulchella,0,0,0,0,0,1,0,0,1,1,0
Heteroxenicus stellatus,0,0,0,0,0,1,0,0,1,1,0
Horornis acanthizoides,0,0,0,0,1,1,0,0,0,1,0
Horornis flavolivaceus,0,0,0,0,0,1,0,0,1,1,0
Hypsipetes leucocephalus,0,0,0,0,0,1,0,0,1,1,0
Ixos mcclellandii,0,0,0,0,0,1,0,0,1,1,0
Lagopus lagopus,0,1,0,1,0,0,1,0,0,0,0
Lagopus muta,0,1,0,1,0,0,1,0,0,0,0
Leiothrix argentauris,0,0,0,0,0,1,0,0,1,1,0
Leptopoecile elegans,0,0,0,0,0,0,0,0,1,1,1
Leucosticte brandti,0,0,0,0,0,0,0,0,1,1,1
Liocichla phoenicea,0,0,0,0,0,1,0,0,1,1,0
Locustella luteoventris,0,0,0,0,0,1,0,0,1,1,0
Locustella mandelli,0,0,0,0,0,1,0,0,1,1,0
Lophura leucomelanos,0,0,0,0,0,1,0,0,1,1,0
Loxia leucoptera,0,1,0,1,1,0,0,0,0,0,0
Lyrurus tetrix,0,1,0,0,1,0,1,0,0,0,0
Machlolophus spilonotus,0,0,0,0,0,1,0,0,1,1,0
Minla ignotincta,0,0,0,0,0,1,0,0,1,1,0
Mixornis gularis,0,0,0,0,0,1,0,0,1,1,0
Mycerobas melanozanthos,0,0,0,0,0,1,0,0,1,1,0
Myiomela leucura,0,0,0,0,0,1,0,0,1,1,0
Niltava davidi,0,0,0,0,1,1,0,0,0,1,0
Niltava grandis,0,0,0,0,0,1,0,0,1,1,0
Niltava macgrigoriae,0,0,0,0,0,1,0,0,1,1,0
Niltava sundara,0,0,0,0,0,1,0,0,1,1,0
Pardaliparus venustulus,0,0,0,0,1,1,0,0,0,1,0
Parus major,0,1,0,0,0,0,1,1,0,0,0
Perdix dauurica,0,1,0,0,1,0,1,0,0,0,0
Perdix hodgsoniae,0,0,0,0,0,0,0,0,1,1,1
Pericrocotus brevirostris,0,0,0,0,0,1,0,0,1,1,0
Pericrocotus cinnamomeus,0,0,0,0,0,1,0,1,1,0,0
Pericrocotus roseus,0,0,0,0,0,1,0,0,1,1,0
Pericrocotus solaris,0,0,0,0,0,1,0,0,1,1,0
Periparus rubidiventris,0,0,0,0,0,0,0,0,1,1,1
Periparus rufonuchalis,0,0,0,0,0,0,1,1,1,0,0
Phoenicurus schisticeps,0,0,0,0,0,0,0,0,1,1,1
Phylloscopus castaniceps,0,0,0,0,0,1,0,0,1,1,0
Phylloscopus collybita,0,1,0,0,0,0,1,1,0,0,0
Phylloscopus maculipennis,0,0,0,0,0,1,0,0,1,1,0
Phylloscopus pulcher,0,0,0,0,0,1,0,0,1,1,0
Phylloscopus reguloides,0,0,0,0,0,1,0,0,1,1,0
Phylloscopus tephrocephalus,0,0,0,0,1,1,0,0,0,1,0
Phylloscopus valentini,0,0,0,0,1,1,0,0,0,1,0
Picoides tridactylus,0,1,0,0,0,0,1,0,0,1,0
Poecile hypermelaenus,0,0,0,0,1,0,0,0,1,1,0
Poecile superciliosus,0,0,0,0,0,0,0,0,1,1,1
Procarduelis nipalensis,0,0,0,0,0,1,0,0,1,1,0
Prunella rubeculoides,0,0,0,0,0,0,0,0,1,1,1
Prunella strophiata,0,0,0,0,0,0,0,0,1,1,1
Pseudopodoces humilis,0,0,0,0,0,0,0,0,1,1,1
Psittiparus gularis,0,0,0,0,0,1,0,0,1,1,0
Pycnonotus cafer,0,0,0,0,0,1,0,1,1,0,0
Pycnonotus jocosus,0,0,0,0,0,1,0,0,1,1,0
Pycnonotus sinensis,0,0,0,0,1,1,0,0,0,1,0
Pycnonotus xanthorrhous,0,0,0,0,1,1,0,0,0,1,0
Pyrrhoplectes epauletta,0,0,0,0,0,1,0,0,1,1,0
Pyrrhula nipalensis,0,0,0,0,0,1,0,0,1,1,0
Pyrrhula pyrrhula,0,1,0,0,1,0,1,0,0,0,0
Rhodospiza obsoleta,0,0,0,0,0,0,1,1,0,0,1
Rhopophilus pekinensis,0,0,0,0,1,0,1,0,0,0,1
Saxicola torquatus,0,1,1,0,0,0,0,1,0,0,0
Schoeniparus brunneus,0,0,0,0,1,1,0,0,0,1,0
Schoeniparus castaneceps,0,0,0,0,0,1,0,0,1,1,0
Schoeniparus cinereus,0,0,0,0,0,1,0,0,1,1,0
Schoeniparus dubius,0,0,0,0,0,1,0,0,1,1,0
Serinus pusillus,0,0,0,0,0,0,1,1,1,0,0
Sinosuthora conspicillata,0,0,0,0,1,0,1,0,0,1,0
Sinosuthora webbiana,0,0,0,0,1,1,0,0,0,1,0
Sitta cinnamoventris,0,0,0,0,0,1,0,0,1,1,0
Sitta nagaensis,0,0,0,0,0,1,0,0,1,1,0
Sitta villosa,0,0,0,0,1,0,1,0,0,0,1
Spelaeornis troglodytoides,0,0,0,0,0,1,0,0,1,1,0
Spizixos canifrons,0,0,0,0,0,1,0,0,1,1,0
Spizixos semitorques,0,0,0,0,1,1,0,0,0,1,0
Sylviparus modestus,0,0,0,0,0,1,0,0,1,1,0
Tarsiger chrysaeus,0,0,0,0,0,1,0,0,1,1,0
Tarsiger indicus,0,0,0,0,0,1,0,0,1,1,0
Tesia cyaniventer,0,0,0,0,0,1,0,0,1,1,0
Tesia olivea,0,0,0,0,0,1,0,0,1,1,0
Tetraogallus himalayensis,0,0,0,0,0,0,1,0,1,0,1
Tetraogallus tibetanus,0,0,0,0,0,0,0,0,1,1,1
Trochalopteron affine,0,0,0,0,0,1,0,0,1,1,0
Turdus boulboul,0,0,0,0,0,1,0,0,1,1,0
Turdus kessleri,0,0,0,0,0,0,0,0,1,1,1
Turdus mandarinus,0,0,0,0,1,1,0,0,0,1,0
Yuhina flavicollis,0,0,0,0,0,1,0,0,1,1,0
Yuhina gularis,0,0,0,0,0,1,0,0,1,1,0
Yuhina nigrimenta,0,0,0,0,0,1,0,0,1,1,0
Yuhina occipitalis,0,0,0,0,0,1,0,0,1,1,0
Zoothera dixoni,0,0,0,0,0,1,0,0,1,1,0
Alcippe davidi,0,0,0,0,1,1,0,0,0,1,0
Pterorhinus albogularis,0,0,0,0,1,0,0,0,1,1,0
Actinodura strigula,0,0,0,0,0,1,0,0,1,1,0
Actinodura cyanouroptera,0,0,0,0,0,1,0,0,1,1,0
Parayuhina diademata,0,0,0,0,1,1,0,0,0,1,0
Pericrocotus speciosus,0,0,0,0,0,1,0,0,1,1,0
Pica bottanensis,0,0,0,0,0,0,0,0,1,1,1
Corvus cornix,0,1,0,0,0,0,0,1,1,0,0
Oenanthe pleschanka,0,0,0,0,1,0,1,1,0,0,0
Saxicola stejnegeri,0,1,0,0,1,0,1,0,0,0,0
Monticola saxatilis,0,1,0,0,0,0,1,1,0,0,0
Phoenicurus hodgsoni,0,0,0,0,0,0,0,0,1,1,1
Phoenicurus frontalis,0,0,0,0,0,0,0,0,1,1,1
Cyornis whitei,0,0,0,0,0,1,0,0,1,1,0
Phylloscopus yunnanensis,0,0,0,0,1,0,0,0,1,1,0
Phylloscopus armandii,0,0,0,0,1,0,0,0,0,1,1
Phylloscopus sindianus,0,0,0,0,0,0,1,1,1,0,0
Phylloscopus fuligiventer,0,0,0,0,0,0,0,0,1,1,1
Phylloscopus fuscatus,0,1,0,0,1,0,1,0,0,0,0
Phylloscopus plumbeitarsus,0,1,0,0,1,0,1,0,0,0,0
Locustella davidi,0,1,0,0,1,0,0,0,0,1,0
Locustella tacsanowskia,0,0,0,0,1,0,1,0,0,1,0
Helopsaltes certhiola,0,1,0,0,1,0,1,0,0,0,0
Abroscopus superciliaris,0,0,0,0,0,1,0,0,1,0,0
Acanthis flammea,0,1,0,1,0,0,0,0,0,0,0
Actinodura egertoni,0,0,0,0,0,1,0,0,1,0,0
Aegithalos fuliginosus,0,0,0,0,1,0,0,0,0,1,0
Aegithalos glaucogularis,0,0,0,0,1,0,0,0,0,1,0
Aegithalos leucogenys,0,0,0,0,0,0,0,1,1,0,0
Agraphospiza rubescens,0,0,0,0,0,0,0,0,1,1,0
Alcippe nipalensis,0,0,0,0,0,1,0,0,1,0,0
Alectoris magna,0,0,0,0,0,0,1,0,0,0,1
Alophoixus flaveolus,0,0,0,0,0,1,0,0,1,0,0
Ammoperdix heyi,0,0,1,0,0,0,0,1,0,0,0
Anthipes monileger,0,0,0,0,0,1,0,0,1,0,0
Arborophila atrogularis,0,0,0,0,0,1,0,0,1,0,0
Argya caudata,0,0,0,0,0,1,0,1,0,0,0
Brachypteryx sinensis,0,0,0,0,1,1,0,0,0,0,0
Bucanetes githagineus,0,0,1,0,0,0,0,1,0,0,0
Carpodacus dubius,0,0,0,0,0,0,0,0,0,1,1
Carpodacus edwardsii,0,0,0,0,0,0,0,0,1,1,0
Carpodacus roseus,0,1,0,0,0,0,1,0,0,0,0
Carpodacus sipahi,0,0,0,0,0,0,0,0,1,1,0
Carpodacus stoliczkae,0,0,0,0,0,0,1,0,0,0,1
Carpodacus subhimachalus,0,0,0,0,0,0,0,0,1,1,0
Carpodacus synoicus,0,0,1,0,0,0,0,1,0,0,0
Cercotrichas podobe,0,0,1,0,0,0,0,1,0,0,0
Certhia himalayana,0,0,0,0,0,0,0,0,1,1,0
Certhia hodgsoni,0,0,0,0,0,0,0,0,1,1,0
Cettia brunnifrons,0,0,0,0,0,0,0,0,1,1,0
Cettia cetti,0,1,0,0,0,0,0,1,0,0,0
Cettia major,0,0,0,0,0,0,0,0,1,1,0
Chleuasicus atrosuperciliaris,0,0,0,0,0,1,0,0,1,0,0
Chloris chloris,0,1,0,0,0,0,0,1,0,0,0
Chloris spinoides,0,0,0,0,0,1,0,0,1,0,0
Cholornis paradoxus,0,0,0,0,1,0,0,0,0,1,0
Cholornis unicolor,0,0,0,0,0,0,0,0,1,1,0
Chrysolophus amherstiae,0,0,0,0,0,1,0,0,0,1,0
Chrysomma sinense,0,0,0,0,0,1,0,0,1,0,0
Cincloramphus timoriensis,1,0,0,0,0,1,0,0,0,0,0
Cochoa viridis,0,0,0,0,0,1,0,0,1,0,0
Conostoma aemodium,0,0,0,0,0,0,0,0,1,1,0
Corvus torquatus,0,0,0,0,1,1,0,0,0,0,0
Corvus ruficollis,0,0,1,0,0,0,0,1,0,0,0
Coturnix coturnix,0,1,1,0,0,0,0,0,0,0,0
Coturnix japonica,0,1,0,0,1,0,0,0,0,0,0
Crossoptilon auritum,0,0,0,0,0,0,0,0,0,1,1
Cyanistes caeruleus,0,1,0,0,0,0,0,1,0,0,0
Cyanoderma chrysaeum,0,0,0,0,0,1,0,0,1,0,0
Cyanopica cyanus,0,0,0,0,1,0,1,0,0,0,0
Cyornis banyumas,0,0,0,0,0,1,0,0,0,1,0
Cyornis poliogenys,0,0,0,0,0,1,0,0,1,0,0
Dendrocitta frontalis,0,0,0,0,0,1,0,0,1,0,0
Dendrocitta vagabunda,0,0,0,0,0,1,0,0,1,0,0
Dendrocopos leucopterus,0,0,0,0,0,0,1,1,0,0,0
Dendrocopos macei,0,0,0,0,0,1,0,0,1,0,0
Dendrocopos syriacus,0,1,0,0,0,0,0,1,0,0,0
Dicrurus aeneus,0,0,0,0,0,1,0,0,1,0,0
Dicrurus annectens,0,0,0,0,0,1,0,0,1,0,0
Dicrurus caerulescens,0,0,0,0,0,1,0,0,1,0,0
Dicrurus paradiseus,0,0,0,0,0,1,0,0,1,0,0
Dinopium shorii,0,0,0,0,0,1,0,0,1,0,0
Dryocopus javensis,0,0,0,0,0,1,0,0,0,1,0
Enicurus immaculatus,0,0,0,0,0,1,0,0,1,0,0
Erythrogenys erythrogenys,0,0,0,0,0,1,0,0,1,0,0
Ficedula hodgsoni,0,0,0,0,0,1,0,0,1,0,0
Francolinus gularis,0,0,0,0,0,1,0,0,1,0,0
Fulvetta manipurensis,0,0,0,0,0,1,0,0,0,1,0
Fulvetta striaticollis,0,0,0,0,0,0,0,0,1,1,0
Gampsorhynchus rufulus,0,0,0,0,0,1,0,0,1,0,0
Garrulax leucolophus,0,0,0,0,0,1,0,0,1,0,0
Garrulax maesi,0,0,0,0,0,1,0,0,0,1,0
Garrulax monileger,0,0,0,0,0,1,0,0,1,0,0
Garrulus lanceolatus,0,0,0,0,0,0,0,1,1,0,0
Gecinulus grantia,0,0,0,0,0,1,0,0,1,0,0
Graminicola bengalensis,0,0,0,0,0,1,0,0,1,0,0
Hemixos flavala,0,0,0,0,0,1,0,0,1,0,0
Heterophasia desgodinsi,0,0,0,0,0,1,0,0,0,1,0
Heterophasia picaoides,0,0,0,0,0,1,0,0,1,0,0
Ithaginis cruentus,0,0,0,0,0,0,0,0,1,1,0
Jynx torquilla,0,1,1,0,0,0,0,0,0,0,0
Larvivora brunnea,0,0,0,0,0,0,0,0,1,1,0
Leiopicus mahrattensis,0,0,0,0,0,1,0,0,1,0,0
Leioptila annectens,0,0,0,0,0,1,0,0,1,0,0
Lerwa lerwa,0,0,0,0,0,0,0,0,1,1,0
Leucosticte arctoa,0,1,0,0,0,0,1,0,0,0,0
Locustella chengi,0,0,0,0,1,0,0,0,0,1,0
Lophophanes dichrous,0,0,0,0,0,0,0,0,1,1,0
Lophophorus sclateri,0,0,0,0,0,0,0,0,1,1,0
Lophura nycthemera,0,0,0,0,0,1,0,0,0,1,0
Lyrurus mlokosiewiczi,0,1,0,0,0,0,0,1,0,0,0
Machlolophus nuchalis,0,0,0,0,0,1,1,0,0,0,0
Machlolophus xanthogenys,0,0,0,0,0,1,0,0,1,0,0
Malacocincla abbotti,0,0,0,0,0,1,0,0,1,0,0
Megalurus palustris,0,0,0,0,0,1,0,0,1,0,0
Melanochlora sultanea,0,0,0,0,0,1,0,0,1,0,0
Micropternus brachyurus,0,0,0,0,0,1,0,0,1,0,0
Mulleripicus pulverulentus,0,0,0,0,0,1,0,0,1,0,0
Mycerobas affinis,0,0,0,0,0,0,0,0,1,1,0
Mycerobas icterioides,0,0,0,0,0,0,0,1,1,0,0
Myzornis pyrrhoura,0,0,0,0,0,0,0,0,1,1,0
Napothera epilepidota,0,0,0,0,0,1,0,0,1,0,0
Nucifraga multipunctata,0,0,0,0,0,0,0,1,1,0,0
Oenanthe fusca,0,0,0,0,0,1,0,1,0,0,0
Oenanthe leucopyga,0,0,1,0,0,0,0,1,0,0,0
Oenanthe leucura,0,1,1,0,0,0,0,0,0,0,0
Oenanthe lugens,0,0,1,0,0,0,0,1,0,0,0
Oenanthe melanura,0,0,1,0,0,0,0,1,0,0,0
Oenanthe monacha,0,0,1,0,0,0,0,1,0,0,0
Paradoxornis flavirostris,0,0,0,0,0,1,0,0,1,0,0
Paradoxornis guttaticollis,0,0,0,0,0,1,0,0,0,1,0
Pavo cristatus,0,0,0,0,0,1,0,0,1,0,0
Pellorneum ruficeps,0,0,0,0,0,1,0,0,1,0,0
Perisoreus infaustus,0,1,0,0,0,0,1,0,0,0,0
Phyllergates cucullatus,0,0,0,0,0,1,0,0,1,0,0
Phylloscopus cantator,0,0,0,0,0,1,0,0,1,0,0
Phylloscopus intensior,0,0,0,0,0,1,0,0,0,1,0
Phylloscopus intermedius,0,0,0,0,0,1,0,0,1,0,0
Phylloscopus whistleri,0,0,0,0,0,1,0,0,1,0,0
Picus chlorolophus,0,0,0,0,0,1,0,0,1,0,0
Picus squamatus,0,0,0,0,0,0,0,1,1,0,0
Picus viridis,0,1,0,0,0,0,0,1,0,0,0
Picus xanthopygaeus,0,0,0,0,0,1,0,0,1,0,0
Pinicola enucleator,0,1,0,1,0,0,0,0,0,0,0
